file_path,track_name,warmth,spatiality,distance,density,groundedness,timbral_warmth,timbral_brightness,timbral_depth,timbral_reverberance,rt60_estimate,stereo_correlation,stereo_width,dynamic_range_db,danceability,beat_strength,low_freq_ratio,rhythm_regularity,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,pulse_clarity,tempo_confidence,key,key_name,mode,key_confidence,energy,onset_rate,spectral_flux_mean,rms_mean,cluster,name,artist,album,album_art,track_id,spotify_uri
audio/Satoshi Ashikawa - Still Way Wave Notation 2.mp3,Satoshi Ashikawa - Still Way Wave Notation 2,9.3238173132084,10.0,8.459004336017571,2.171837256958195,5.939917258444093,52.8244057395737,46.49979431163855,53.38684572300155,1.0,4.858070511373606,-0.0018218944335191,0.5008935060197083,24.81632862091064,,4.904712677001953,0.2784191535467177,0.968227305103251,647.1313156764197,778.554988670641,1095.766467555478,0.0034637588541954,0.2053101360797882,0.5177321131989432,9,A,1,0.1139352636303851,0.1776601822891257,0.9747496601677844,4.806175708770752,0.037336315959692,0,Still Sky,Satoshi Ashikawa,Still Way (Wave Notation 2),https://i.scdn.co/image/ab67616d0000b273f85d4f1e021a1e57ce0af1ed,4O8E7XRXOp8TpqRUYsv0Q9,spotify:track:4O8E7XRXOp8TpqRUYsv0Q9
audio/Milton NascimentoLo Borges - Cravo e Canela.mp3,Milton NascimentoLo Borges - Cravo e Canela,3.3971634278995486,7.729393352536911,5.8272009259627815,4.599208927526719,4.43820132769241,41.29769629909936,62.80783398568611,47.372119125874136,1.0,4.500986767654746,0.4789965825207904,0.2605038511663488,30.16392974853515,,4.780097007751465,0.3587500025270035,0.9565254505891394,1906.7909603017151,3929.493389905648,2089.9583689642036,0.0319178476929664,0.1344920843839645,0.4951055368614179,2,D,1,0.0859224994214617,0.5274040175125062,4.55862977602108,27.878250122070312,0.0738506317138671,0,Cravo E Canela,"Milton Nascimento, Lô Borges",Clube Da Esquina,https://i.scdn.co/image/ab67616d0000b27336ebd83756dae33f2504dc40,4VWdOayiIDPEZNf7qBRylL,spotify:track:4VWdOayiIDPEZNf7qBRylL
audio/Jefre Cantu-Ledesma - The Milky Sea.mp3,Jefre Cantu-Ledesma - The Milky Sea,5.325595002834029,3.8359527958696047,2.7782095810656875,6.851982866419254,3.275525328975137,50.787192533916944,55.096085042435035,75.18618657237649,1.0,8.131905178488918,0.7798117613598798,0.1135044301454456,10.678051233291626,,1.5108205080032349,0.6297586724729679,0.9616481376096208,1811.7056322937192,4540.537483655416,2305.863960805814,0.0099614467471838,0.0734296515583992,0.6563767723988706,5,F,1,0.2872920385051105,0.6293479782537782,0.7911938722775905,34.37962341308594,0.1209871172904968,1,The Milky Sea,Jefre Cantu-Ledesma,The Milky Sea,https://i.scdn.co/image/ab67616d0000b273dc1401674a1ba7c5f589e53f,5lTrKIvw7MN30cGS2FQKde,spotify:track:5lTrKIvw7MN30cGS2FQKde
audio/Vashti Bunyan - Diamond Day.mp3,Vashti Bunyan - Diamond Day,7.87790292595519,3.9571013484483775,6.511082935391508,3.377717011254566,3.943579944696358,49.91246199552597,52.51830396133332,44.830698420840584,1.0,5.23988506182855,0.7714986301505098,0.1188608776630628,29.68051505088806,,3.356423854827881,0.1803774234117821,0.9529180326260814,1020.494171834337,1675.2258247891166,1357.7895995306503,0.0299869254231452,0.1516723483800888,0.4547227036395049,2,D,1,0.3004250910926822,0.6577489156023381,2.463335811677444,34.11820983886719,0.1174368783831596,0,Diamond Day,Vashti Bunyan,Just Another Diamond Day,https://i.scdn.co/image/ab67616d0000b273aa75bc2cbc0003e7ef6add7a,1SVbLtv66jl9djDekvnMTq,spotify:track:1SVbLtv66jl9djDekvnMTq
audio/Fatima Yamaha - Whats a Girl to Do.mp3,Fatima Yamaha - Whats a Girl to Do,3.96587086950134,1.379128088731735,4.270235840509417,6.73057618431422,8.49209841858123,43.11968227047676,64.7017333465057,61.66700932254912,1.0,2.998650941884354,0.9654009967527908,0.017584501895819,34.10596227645874,,12.35922908782959,0.7648312139737058,0.976717026864529,1829.8362647296744,3845.233799879339,2116.4656236211117,0.0194313134998083,0.1705034077167511,0.8825273010920391,10,A#,0,0.0973088345294907,0.8895836007975988,3.5833440319039505,62.03685760498047,0.1705593019723892,1,What's a Girl to Do,Fatima Yamaha,A Girl Between Two Worlds,https://i.scdn.co/image/ab67616d0000b273630f7ee95e279a92b285ed41,5N720bYInxSsiUDvBOLM3C,spotify:track:5N720bYInxSsiUDvBOLM3C
audio/Augustus Pablo - King Tubbys Meets Rockers Uptown.mp3,Augustus Pablo - King Tubbys Meets Rockers Uptown,4.47761455031107,4.080848368942948,3.698354647877385,7.457551921815753,8.014221072494127,47.19690522472085,60.95392773482018,63.589560258707465,1.0,2.080941244904801,0.7583636240679688,0.1208623371094354,19.31335458755493,,8.514087677001953,0.8348797151249403,0.9719596497360576,1918.0312758833848,4261.711490564585,2286.6036621210997,0.0223975125700235,0.2090248018503189,0.4429112964366877,1,C#,0,0.0167659626121764,0.9072659812195588,4.290639248782352,64.77806854248047,0.180949330329895,1,King Tubby's Meets Rockers Uptown,Augustus Pablo,King Tubbys Meets Rockers Uptown,https://i.scdn.co/image/ab67616d0000b273720b3e82fadb2036fdd58fe0,0Rvtj66lo8oTWubx6GA1nR,spotify:track:0Rvtj66lo8oTWubx6GA1nR
audio/Maston - Hues.mp3,Maston - Hues,6.177642595734998,2.7058504920003985,4.483787429373816,2.429332545500211,7.376929734245942,46.429757621711666,60.57577207709595,46.93377800743791,1.0,4.782121912478778,0.86495127405157,0.0692117886971543,14.483702182769775,,5.621091842651367,0.3153508927291282,0.9789011384322268,1362.2709595600668,2395.92801118697,1432.9128915014523,0.0041346792131662,0.2001538425683975,0.9303895102198046,7,G,1,0.0041165673251241,0.6457377020446657,2.483384027195766,34.69000244140625,0.1126539260149002,0,Hues,Maston,Tulips,https://i.scdn.co/image/ab67616d0000b273c6e38b8ede9b06f81dc04adf,2blzOXYrQkdwoLRQ436Oox,spotify:track:2blzOXYrQkdwoLRQ436Oox
audio/Teebs - Ardour.mp3,Teebs - Ardour,2.872361322953815,4.109098610954003,2.971385018181124,7.726097959698883,6.8967960745143415,43.858641081896614,63.57991985508319,60.08968214578145,1.0,3.270796264443193,0.7568227684945845,0.1224085362915301,17.10602052211761,,4.337324619293213,0.8161055764043519,0.9341874854186054,2231.2577090451005,4961.525378816073,2617.875691504735,0.0130839450284838,0.147904098033905,0.9371564675705216,11,B,0,0.0110473877951602,0.9134390782828284,4.5375631313131315,101.22794342041016,0.2466626167297363,1,You've Changed,Teebs,Ardour,https://i.scdn.co/image/ab67616d0000b273915d94fe89cd651a06944ab4,2g1RlpsrFQNScIvJIYkeJa,spotify:track:2g1RlpsrFQNScIvJIYkeJa
audio/Elliott Smith - Cupids Trick.mp3,Elliott Smith - Cupids Trick,3.685157005267103,5.2022608333101035,3.787121383039942,6.033527674562098,5.7278668660048995,44.89209372970561,62.34918783838626,57.59660462642799,1.0,6.61251950704896,0.6744757651741201,0.1652604825986394,18.80729236602783,,3.286802291870117,0.6022886864201139,0.96265840144468,2023.0699991871704,4508.5971983139125,2426.420803801864,0.0107269426807761,0.1829816102981567,0.5482736974262329,7,G,0,0.3489310062957318,0.8269154478204416,2.6333051979230477,46.80039978027344,0.1440841257572174,1,Cupid's Trick,Elliott Smith,Either/Or,https://i.scdn.co/image/ab67616d0000b2732f3552dc6f9e4e2748c5b8ba,02dNJoluauc40mVrZaQCs4,spotify:track:02dNJoluauc40mVrZaQCs4
audio/Quruli - Quruli.mp3,Quruli - Quruli,4.709897338840318,3.5086730824875656,4.008499648473837,6.398317719397391,5.572858283337946,46.083427145122776,60.13460527852273,58.57844272356945,1.0,5.335928797484328,0.8021541112444028,0.0989479213721703,22.066562652587887,,4.495354175567627,0.6455928748829338,0.969604858315017,1753.8736542221825,3912.715305584327,2159.1522207319676,0.033949077129364,0.1307544708251953,0.7274050121261056,10,A#,1,0.1699966666923903,0.6074770425309962,3.1370697218188677,32.824703216552734,0.0996306240558624,1,Night rider (ver. Quruli),Quruli,The Best of Quruli / Tower of Music Lover,https://i.scdn.co/image/ab67616d0000b273877a6eadd479ebc5e2bbc32e,6GpyOylgcEP7eohIS5XMUj,spotify:track:6GpyOylgcEP7eohIS5XMUj
audio/Burial - Homeless.mp3,Burial - Homeless,5.777746725274982,3.7883398289867065,3.9639651016240287,5.72921773420714,7.665232926195221,48.32567591267693,58.86268283864176,57.19824109088539,1.0,3.9516648481415824,0.7821550552596463,0.1107089163968999,13.75020008087158,,5.408203125,0.6179288803465638,0.9599938447335742,1567.2183584408997,3355.0177160043168,1979.7943182450088,0.0069053452461957,0.1894302815198898,0.9185953711093308,6,F#,0,0.1456726166774046,0.9347533833731942,5.390135334927765,79.14299774169922,0.2073142677545547,1,Homeless,Burial,Untrue,https://i.scdn.co/image/ab67616d0000b27355018696782c175bdbaa3b5d,18Znx47PDdm8uNoyljW4zQ,spotify:track:18Znx47PDdm8uNoyljW4zQ
